H	K	L	2THETA	D-VALUE	MULT	INTENSITY
1	7	-8	94.14	1.0529	2	0.0
1	-7	-8	94.14	1.0529	2	0.0
2	-6	8	94.15	1.0528	2	0.2
2	6	8	94.15	1.0528	2	0.2
2	-8	0	94.22	1.0522	2	0.0
2	8	0	94.22	1.0522	2	0.0
2	-8	-1	94.28	1.0517	2	0.0
2	8	-1	94.28	1.0517	2	0.0
3	-7	-1	94.44	1.0503	2	0.1
3	7	-1	94.44	1.0503	2	0.1
3	-7	0	94.50	1.0498	2	0.0
3	7	0	94.50	1.0498	2	0.0
4	2	7	94.79	1.0473	2	0.0
4	-2	7	94.79	1.0473	2	0.0
2	-8	1	94.79	1.0473	2	0.0
2	8	1	94.79	1.0473	2	0.0
2	-2	12	94.95	1.0460	2	0.1
2	2	12	94.95	1.0460	2	0.1
2	-8	-2	94.99	1.0457	2	0.1
2	8	-2	94.99	1.0457	2	0.1
3	-7	-2	95.02	1.0454	2	0.1
3	7	-2	95.02	1.0454	2	0.1
5	-1	-1	95.10	1.0448	2	0.0
5	1	-1	95.10	1.0448	2	0.0
3	-7	1	95.21	1.0439	2	0.0
3	7	1	95.21	1.0439	2	0.0
2	6	-9	95.25	1.0435	2	0.0
2	-6	-9	95.25	1.0435	2	0.0
0	0	14	95.40	1.0423	2	0.0
5	1	0	95.42	1.0421	2	0.0
5	-1	0	95.42	1.0421	2	0.0
5	1	-2	95.42	1.0421	2	0.1
5	-1	-2	95.42	1.0421	2	0.1
1	-5	11	95.45	1.0419	2	0.0
1	5	11	95.45	1.0419	2	0.0
4	-4	5	95.78	1.0392	2	0.0
4	4	5	95.78	1.0392	2	0.0
0	8	-6	95.83	1.0387	2	0.1
0	8	6	95.83	1.0387	2	0.1
2	-8	2	96.01	1.0372	2	0.0
2	8	2	96.01	1.0372	2	0.0
1	-7	8	96.19	1.0358	2	0.1
1	7	8	96.19	1.0358	2	0.1
3	-7	-3	96.24	1.0354	2	0.0
3	7	-3	96.24	1.0354	2	0.0
2	-8	-3	96.34	1.0346	2	0.1
2	8	-3	96.34	1.0346	2	0.1
5	-1	1	96.38	1.0343	2	0.1
5	1	1	96.38	1.0343	2	0.1
5	1	-3	96.39	1.0342	2	0.1
5	-1	-3	96.39	1.0342	2	0.1
3	-7	2	96.56	1.0328	2	0.1
3	7	2	96.56	1.0328	2	0.1
4	-2	-9	96.87	1.0303	2	0.1
4	2	-9	96.87	1.0303	2	0.1
4	0	8	96.89	1.0302	2	0.2
2	-4	11	97.03	1.0291	2	0.1
2	4	11	97.03	1.0291	2	0.1
4	-4	-7	97.34	1.0266	2	0.0
4	4	-7	97.34	1.0266	2	0.0
3	-5	-9	97.63	1.0243	2	0.0
3	5	-9	97.63	1.0243	2	0.0
2	-8	3	97.88	1.0224	2	0.0
2	8	3	97.88	1.0224	2	0.0
5	1	2	97.99	1.0215	2	0.0
5	-1	2	97.99	1.0215	2	0.0
5	-1	-4	98.00	1.0214	2	0.0
5	1	-4	98.00	1.0214	2	0.0
3	3	10	98.08	1.0208	2	0.0
